PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 -x3 +x4 -x7 +x10 -x11 +x14 -x15 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x50 +x52 -x58 +x60 -x64 +x68 -x72 +x76 <= 1
Processing #1 of at least 1 class
x0 -x3 +x4 -x7 +x8 +x12 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x46 -x54 -x64 +x68 -x72 +x76 <= 1
Processing #2 of at least 2 classes
Fourier-Motzkin Elimination step 3964 / 3450112: 5324
Fourier-Motzkin Elimination step 3965 / 3450112: 5638
Fourier-Motzkin Elimination step 3966 / 3450112: 5286
Fourier-Motzkin Elimination step 3967 / 3450112: 5482
Fourier-Motzkin Elimination step 3968 / 3450112: 5678
Fourier-Motzkin Elimination step 3969 / 3450112: 5975
Fourier-Motzkin Elimination step 3970 / 3450112: 6007
Fourier-Motzkin Elimination step 3971 / 3450112: 6189
Fourier-Motzkin Elimination step 3972 / 3450112: 6284
Fourier-Motzkin Elimination step 3973 / 3450112: 6581
Fourier-Motzkin Elimination step 3974 / 3450112: 6702
Fourier-Motzkin Elimination step 3975 / 3450112: 6973
Fourier-Motzkin Elimination step 3976 / 3450112: 7068
Fourier-Motzkin Elimination step 4426 / 2304896: 5397
Fourier-Motzkin Elimination step 3977 / 3450112: 7160
Fourier-Motzkin Elimination step 4427 / 2304896: 4807
Fourier-Motzkin Elimination step 3978 / 3450112: 7252
Fourier-Motzkin Elimination step 3979 / 3450112: 7343
Fourier-Motzkin Elimination step 4431 / 2304896: 5079
Fourier-Motzkin Elimination step 3980 / 3450112: 7265
Fourier-Motzkin Elimination step 3981 / 3450112: 7334
Fourier-Motzkin Elimination step 3982 / 3450112: 7264
Fourier-Motzkin Elimination step 4436 / 2304896: 6133
Fourier-Motzkin Elimination step 3983 / 3450112: 7202
Fourier-Motzkin Elimination step 4437 / 2304896: 5496
Fourier-Motzkin Elimination step 3984 / 3450112: 7157
Fourier-Motzkin Elimination step 4438 / 2304896: 5503
Fourier-Motzkin Elimination step 3985 / 3450112: 7166
Fourier-Motzkin Elimination step 4439 / 2304896: 5402
Fourier-Motzkin Elimination step 3986 / 3450112: 7082
Fourier-Motzkin Elimination step 4440 / 2304896: 5968
Fourier-Motzkin Elimination step 3987 / 3450112: 7094
Fourier-Motzkin Elimination step 3988 / 3450112: 7066
Fourier-Motzkin Elimination step 4441 / 2304896: 4265
Fourier-Motzkin Elimination step 3989 / 3450112: 7093
Fourier-Motzkin Elimination step 4442 / 2304896: 3435
Fourier-Motzkin Elimination step 3990 / 3450112: 7073
Fourier-Motzkin Elimination step 3991 / 3450112: 7073
Fourier-Motzkin Elimination step 3992 / 3450112: 7051
Fourier-Motzkin Elimination step 3993 / 3450112: 7200
Fourier-Motzkin Elimination step 3994 / 3450112: 6906
Fourier-Motzkin Elimination step 3995 / 3450112: 7033
Fourier-Motzkin Elimination step 3996 / 3450112: 7091
Fourier-Motzkin Elimination step 3997 / 3450112: 7305
Fourier-Motzkin Elimination step 3998 / 3450112: 7270
Fourier-Motzkin Elimination step 3999 / 3450112: 7333
Fourier-Motzkin Elimination step 4000 / 3450112: 7265
Fourier-Motzkin Elimination step 4001 / 3450112: 7309
Fourier-Motzkin Elimination step 4002 / 3450112: 7335
Fourier-Motzkin Elimination step 4003 / 3450112: 7459
Fourier-Motzkin Elimination step 4004 / 3450112: 7449
Fourier-Motzkin Elimination step 4005 / 3450112: 7553
Fourier-Motzkin Elimination step 4006 / 3450112: 7628
Fourier-Motzkin Elimination step 4007 / 3450112: 7661
Fourier-Motzkin Elimination step 4008 / 3450112: 7766
Fourier-Motzkin Elimination step 4009 / 3450112: 7986
Fourier-Motzkin Elimination step 4010 / 3450112: 7754
Fourier-Motzkin Elimination step 4011 / 3450112: 7691
Fourier-Motzkin Elimination step 4012 / 3450112: 7654
Fourier-Motzkin Elimination step 4013 / 3450112: 7747
Fourier-Motzkin Elimination step 4014 / 3450112: 7571
Fourier-Motzkin Elimination step 4015 / 3450112: 7486
Fourier-Motzkin Elimination step 4016 / 3450112: 7401
Fourier-Motzkin Elimination step 4017 / 3450112: 7414
Fourier-Motzkin Elimination step 4018 / 3450112: 7427
Fourier-Motzkin Elimination step 4019 / 3450112: 7289
Fourier-Motzkin Elimination step 4020 / 3450112: 7280
Fourier-Motzkin Elimination step 4021 / 3450112: 7387
Fourier-Motzkin Elimination step 4022 / 3450112: 7094
Fourier-Motzkin Elimination step 4023 / 3450112: 7277
Fourier-Motzkin Elimination step 4024 / 3450112: 7322
Fourier-Motzkin Elimination step 4025 / 3450112: 7557
Fourier-Motzkin Elimination step 4026 / 3450112: 7511
Fourier-Motzkin Elimination step 4027 / 3450112: 7614
Fourier-Motzkin Elimination step 4028 / 3450112: 7545
Fourier-Motzkin Elimination step 4029 / 3450112: 7575
Fourier-Motzkin Elimination step 4030 / 3450112: 7644
Fourier-Motzkin Elimination step 4031 / 3450112: 7812
Fourier-Motzkin Elimination step 4032 / 3450112: 7787
Fourier-Motzkin Elimination step 4033 / 3450112: 7857
Fourier-Motzkin Elimination step 4034 / 3450112: 7989
Fourier-Motzkin Elimination step 4582 / 2304896: 5569
Fourier-Motzkin Elimination step 4035 / 3450112: 8041
Fourier-Motzkin Elimination step 4585 / 2304896: 5865
Fourier-Motzkin Elimination step 4036 / 3450112: 8155
Fourier-Motzkin Elimination step 4587 / 2304896: 6187
Fourier-Motzkin Elimination step 4037 / 3450112: 8460
Fourier-Motzkin Elimination step 4588 / 2304896: 5865
Fourier-Motzkin Elimination step 4589 / 2304896: 5767
Fourier-Motzkin Elimination step 4038 / 3450112: 8078
Fourier-Motzkin Elimination step 4590 / 2304896: 5807
Fourier-Motzkin Elimination step 4591 / 2304896: 6117
Fourier-Motzkin Elimination step 4039 / 3450112: 8003
Fourier-Motzkin Elimination step 4592 / 2304896: 5513
Fourier-Motzkin Elimination step 4040 / 3450112: 7880
Fourier-Motzkin Elimination step 4041 / 3450112: 7961
Fourier-Motzkin Elimination step 4042 / 3450112: 7720
Fourier-Motzkin Elimination step 4598 / 2304896: 5394
